step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
491,3,33.333333333333336,0.24242424242424232,0,0,0
492,3,33.333333333333336,0.24242424242424232,0,0,0
493,3,33.333333333333336,0.24242424242424232,0,0,0
494,3,33.333333333333336,0.24242424242424232,0,0,0
495,3,33.333333333333336,0.24242424242424232,0,0,0
496,3,33.333333333333336,0.24242424242424232,0,0,0
497,3,33.333333333333336,0.24242424242424232,0,0,0
498,3,33.333333333333336,0.24242424242424232,0,0,0
499,3,33.333333333333336,0.24242424242424232,0,0,0
500,3,33.333333333333336,0.24242424242424232,0,0,0
501,3,33.333333333333336,0.24242424242424232,0,0,0
502,3,33.333333333333336,0.24242424242424232,0,0,0
503,3,33.333333333333336,0.24242424242424232,0,0,0
504,3,33.333333333333336,0.24242424242424232,0,0,0
505,3,33.333333333333336,0.24242424242424232,0,0,0
506,3,33.333333333333336,0.24242424242424232,0,0,0
507,3,33.333333333333336,0.24242424242424232,0,0,0
508,3,33.333333333333336,0.24242424242424232,0,0,0
509,3,33.333333333333336,0.24242424242424232,0,0,0
510,3,33.333333333333336,0.24242424242424232,0,0,0
511,3,33.333333333333336,0.24242424242424232,0,0,0
512,3,33.333333333333336,0.24242424242424232,0,0,0
513,3,33.333333333333336,0.24242424242424232,0,0,0
514,3,33.333333333333336,0.24242424242424232,0,0,0
515,3,33.333333333333336,0.24242424242424232,0,0,0
516,3,33.333333333333336,0.24242424242424232,0,0,0
517,3,33.333333333333336,0.24242424242424232,0,0,0
518,3,33.333333333333336,0.24242424242424232,0,0,0
519,3,33.333333333333336,0.24242424242424232,0,0,0
520,3,33.333333333333336,0.24242424242424232,0,0,0
521,3,33.333333333333336,0.24242424242424232,0,0,0
522,3,33.333333333333336,0.24242424242424232,0,0,0
523,3,33.333333333333336,0.24242424242424232,0,0,0
524,3,33.333333333333336,0.24242424242424232,0,0,0
525,3,33.333333333333336,0.24242424242424232,0,0,0
